
Wed Jan 31 11:09:50.381 GMT-7

Interface                      IP-Address      Status          Protocol Vrf-Name
Bundle-Ether50.596             10.192.66.166   Down            Down     VRF_PS_CHARG
Bundle-Ether50.597             10.192.66.174   Down            Down     VRF_PS_CHARG
Bundle-Ether50.598             10.192.66.182   Down            Down     VRF_PS_CHARG
Bundle-Ether50.599             10.192.66.190   Down            Down     VRF_PS_CHARG
Bundle-Ether50.600             10.192.66.198   Down            Down     VRF_PS_MPBN
Bundle-Ether50.601             10.192.66.206   Down            Down     VRF_PS_MPBN
Bundle-Ether50.602             10.192.66.214   Down            Down     VRF_PS_MPBN
Bundle-Ether50.603             10.192.66.222   Down            Down     VRF_PS_MPBN
Bundle-Ether50.604             10.192.84.30    Down            Down     VRF_PS_RAN
Bundle-Ether50.605             10.192.88.254   Down            Down     VRF_PS_MPBN
Bundle-Ether50.606             10.192.88.94    Down            Down     VRF_PS_CPUP
Bundle-Ether50.607             10.192.88.126   Down            Down     VRF_PS_CPUP
Bundle-Ether50.608             10.192.88.222   Down            Down     VRF_PS_CHARG
Bundle-Ether50.609             10.192.86.28    Down            Down     VRF_PS_RAN
Bundle-Ether50.610             10.192.86.254   Down            Down     VRF_PS_MPBN
Bundle-Ether50.611             10.192.87.92    Down            Down     VRF_PS_CPUP
Bundle-Ether50.612             10.192.87.126   Down            Down     VRF_PS_CPUP
Bundle-Ether50.613             10.192.87.222   Down            Down     VRF_PS_CHARG
Bundle-Ether50.615             10.192.68.6     Down            Down     VRF_4G_SER
Bundle-Ether50.621             10.192.68.54    Down            Down     VRF_PS_CPUP
Bundle-Ether50.627             10.192.68.102   Down            Down     VRF_INT_01
Bundle-Ether50.633             unassigned      Down            Down     VRF_INT_01
Bundle-Ether50.639             10.192.68.150   Down            Down     VRF_IMS 
Bundle-Ether50.651             10.192.68.246   Down            Down     VRF_PS_CHARG
Bundle-Ether50.657             10.192.69.38    Down            Down     VRF_PS_MPBN
Bundle-Ether50.663             10.192.70.6     Down            Down     VRF_4G_SER
Bundle-Ether50.669             10.192.70.54    Down            Down     VRF_PS_CPUP
Bundle-Ether50.675             10.192.70.102   Down            Down     VRF_INT_02
Bundle-Ether50.681             unassigned      Down            Down     VRF_INT_02
Bundle-Ether50.687             10.192.70.150   Down            Down     VRF_IMS 
Bundle-Ether50.699             10.192.70.246   Down            Down     VRF_PS_CHARG
Bundle-Ether50.705             10.192.71.38    Down            Down     VRF_PS_MPBN
Bundle-Ether50.710             unassigned      Down            Down     default 
Bundle-Ether50.711             unassigned      Down            Down     default 
Bundle-Ether50.712             unassigned      Down            Down     default 
Bundle-Ether50.713             unassigned      Down            Down     default 
Bundle-Ether50.716             unassigned      Down            Down     default 
Bundle-Ether50.717             unassigned      Down            Down     default 
Bundle-Ether50.718             unassigned      Down            Down     default 
Bundle-Ether50.719             unassigned      Down            Down     default 
Bundle-Ether50.722             unassigned      Down            Down     default 
Bundle-Ether50.723             unassigned      Down            Down     default 
Bundle-Ether50.724             unassigned      Down            Down     default 
Bundle-Ether50.725             unassigned      Down            Down     default 
Bundle-Ether50.728             unassigned      Down            Down     default 
Bundle-Ether50.729             unassigned      Down            Down     default 
Bundle-Ether50.730             unassigned      Down            Down     default 
Bundle-Ether50.731             unassigned      Down            Down     default 
Bundle-Ether51.770             10.192.116.94   Down            Down     VRF_PS_MPBN
Bundle-Ether51.771             10.192.116.158  Down            Down     VRF_PS_MPBN
Bundle-Ether51.772             10.192.116.220  Down            Down     VRF_PS_MPBN
Bundle-Ether51.773             10.192.117.62   Down            Down     VRF_4G_SER
Bundle-Ether51.774             10.192.117.190  Down            Down     VRF_PS_CPUP
Bundle-Ether51.775             10.192.119.94   Down            Down     VRF_PS_MPBN
Bundle-Ether51.776             10.192.119.158  Down            Down     VRF_PS_MPBN
Bundle-Ether51.777             10.192.119.220  Down            Down     VRF_PS_MPBN
Bundle-Ether51.778             10.192.120.62   Down            Down     VRF_4G_SER
Bundle-Ether51.779             10.192.120.190  Down            Down     VRF_PS_CPUP
Bundle-Ether51.780             10.192.127.6    Down            Down     VRF_4G_SER
Bundle-Ether51.781             10.192.127.14   Down            Down     VRF_4G_SER
Bundle-Ether51.782             10.192.127.22   Down            Down     VRF_PS_CPUP
Bundle-Ether51.783             10.192.127.30   Down            Down     VRF_PS_CPUP
Bundle-Ether51.790             10.192.96.6     Down            Down     VRF_4G_SER
Bundle-Ether51.791             10.192.96.14    Down            Down     VRF_4G_SER
Bundle-Ether51.792             10.192.96.22    Down            Down     VRF_4G_SER
Bundle-Ether51.793             10.192.96.30    Down            Down     VRF_4G_SER
Bundle-Ether51.794             10.192.96.38    Down            Down     VRF_PS_CPUP
Bundle-Ether51.795             10.192.96.46    Down            Down     VRF_PS_CPUP
Bundle-Ether51.796             10.192.96.54    Down            Down     VRF_PS_CPUP
Bundle-Ether51.797             10.192.96.62    Down            Down     VRF_PS_CPUP
Bundle-Ether51.798             10.192.96.70    Down            Down     VRF_INT_03
Bundle-Ether51.799             10.192.96.78    Down            Down     VRF_INT_03
Bundle-Ether51.800             10.192.96.86    Down            Down     VRF_INT_03
Bundle-Ether51.801             10.192.96.94    Down            Down     VRF_INT_03
Bundle-Ether51.802             unassigned      Down            Down     VRF_INT_03
Bundle-Ether51.803             unassigned      Down            Down     VRF_INT_03
Bundle-Ether51.804             unassigned      Down            Down     VRF_INT_03
Bundle-Ether51.805             unassigned      Down            Down     VRF_INT_03
Bundle-Ether51.806             10.192.96.102   Down            Down     VRF_IMS 
Bundle-Ether51.807             10.192.96.110   Down            Down     VRF_IMS 
Bundle-Ether51.808             10.192.96.118   Down            Down     VRF_IMS 
Bundle-Ether51.809             10.192.96.126   Down            Down     VRF_IMS 
Bundle-Ether51.814             10.192.96.166   Down            Down     VRF_PS_CHARG
Bundle-Ether51.815             10.192.96.174   Down            Down     VRF_PS_CHARG
Bundle-Ether51.816             10.192.96.182   Down            Down     VRF_PS_CHARG
Bundle-Ether51.817             10.192.96.190   Down            Down     VRF_PS_CHARG
Bundle-Ether51.818             10.192.96.198   Down            Down     VRF_PS_MPBN
Bundle-Ether51.819             10.192.96.206   Down            Down     VRF_PS_MPBN
